trial,p,M,C,nguesses,prob
86,0.3,16,1,1,1
87,0.3,16,1,1,1
88,0.3,16,1,1,1
89,0.3,16,1,1,1
90,0.3,16,1,1,1
91,0.3,16,1,1,1
92,0.3,16,1,1,1
93,0.3,16,1,1,1
94,0.3,16,1,1,1
95,0.3,16,1,1,1
96,0.3,16,1,1,1
97,0.3,16,1,1,1
98,0.3,16,1,1,1
99,0.3,16,1,1,1
100,0.3,16,1,1,1
1,0.5,16,1,1,0
2,0.5,16,1,1,0.479
3,0.5,16,1,1,0.735
4,0.5,16,1,1,0.861
5,0.5,16,1,1,0.9339999999999999
6,0.5,16,1,1,0.967
7,0.5,16,1,1,0.982
8,0.5,16,1,1,0.992
9,0.5,16,1,1,0.997
10,0.5,16,1,1,0.998
11,0.5,16,1,1,0.999
12,0.5,16,1,1,0.999
13,0.5,16,1,1,1
14,0.5,16,1,1,1
15,0.5,16,1,1,1
16,0.5,16,1,1,1
17,0.5,16,1,1,1
18,0.5,16,1,1,1
19,0.5,16,1,1,1
20,0.5,16,1,1,1
21,0.5,16,1,1,1
22,0.5,16,1,1,1
23,0.5,16,1,1,1
24,0.5,16,1,1,1
25,0.5,16,1,1,1
26,0.5,16,1,1,1
27,0.5,16,1,1,1
28,0.5,16,1,1,1
29,0.5,16,1,1,1
30,0.5,16,1,1,1
31,0.5,16,1,1,1
32,0.5,16,1,1,1
33,0.5,16,1,1,1
34,0.5,16,1,1,1
35,0.5,16,1,1,1
36,0.5,16,1,1,1
37,0.5,16,1,1,1
38,0.5,16,1,1,1
39,0.5,16,1,1,1
40,0.5,16,1,1,1
41,0.5,16,1,1,1
42,0.5,16,1,1,1
43,0.5,16,1,1,1
44,0.5,16,1,1,1
45,0.5,16,1,1,1
46,0.5,16,1,1,1
47,0.5,16,1,1,1
48,0.5,16,1,1,1
49,0.5,16,1,1,1
50,0.5,16,1,1,1
51,0.5,16,1,1,1
52,0.5,16,1,1,1
53,0.5,16,1,1,1
54,0.5,16,1,1,1
55,0.5,16,1,1,1
56,0.5,16,1,1,1
57,0.5,16,1,1,1
58,0.5,16,1,1,1
59,0.5,16,1,1,1
60,0.5,16,1,1,1
61,0.5,16,1,1,1
62,0.5,16,1,1,1
63,0.5,16,1,1,1
64,0.5,16,1,1,1
65,0.5,16,1,1,1
66,0.5,16,1,1,1
67,0.5,16,1,1,1
68,0.5,16,1,1,1
69,0.5,16,1,1,1
70,0.5,16,1,1,1
71,0.5,16,1,1,1
72,0.5,16,1,1,1
73,0.5,16,1,1,1
74,0.5,16,1,1,1
75,0.5,16,1,1,1
76,0.5,16,1,1,1
77,0.5,16,1,1,1
78,0.5,16,1,1,1
79,0.5,16,1,1,1
80,0.5,16,1,1,1
81,0.5,16,1,1,1
82,0.5,16,1,1,1
83,0.5,16,1,1,1
84,0.5,16,1,1,1
85,0.5,16,1,1,1
86,0.5,16,1,1,1
87,0.5,16,1,1,1
88,0.5,16,1,1,1
89,0.5,16,1,1,1
90,0.5,16,1,1,1
91,0.5,16,1,1,1
92,0.5,16,1,1,1
93,0.5,16,1,1,1
94,0.5,16,1,1,1
95,0.5,16,1,1,1
96,0.5,16,1,1,1
97,0.5,16,1,1,1
98,0.5,16,1,1,1
99,0.5,16,1,1,1
100,0.5,16,1,1,1
1,0.7,16,1,1,0
2,0.7,16,1,1,0.719
3,0.7,16,1,1,0.9269999999999999
4,0.7,16,1,1,0.981
5,0.7,16,1,1,0.996
6,0.7,16,1,1,1
7,0.7,16,1,1,1
8,0.7,16,1,1,1
9,0.7,16,1,1,1
10,0.7,16,1,1,1
11,0.7,16,1,1,1
12,0.7,16,1,1,1
13,0.7,16,1,1,1
14,0.7,16,1,1,1
15,0.7,16,1,1,1
16,0.7,16,1,1,1
17,0.7,16,1,1,1
18,0.7,16,1,1,1
19,0.7,16,1,1,1
20,0.7,16,1,1,1
21,0.7,16,1,1,1
22,0.7,16,1,1,1
23,0.7,16,1,1,1
24,0.7,16,1,1,1
25,0.7,16,1,1,1
26,0.7,16,1,1,1
27,0.7,16,1,1,1
28,0.7,16,1,1,1
29,0.7,16,1,1,1
30,0.7,16,1,1,1
31,0.7,16,1,1,1
32,0.7,16,1,1,1
33,0.7,16,1,1,1
34,0.7,16,1,1,1
35,0.7,16,1,1,1
36,0.7,16,1,1,1
37,0.7,16,1,1,1
38,0.7,16,1,1,1
39,0.7,16,1,1,1
40,0.7,16,1,1,1
41,0.7,16,1,1,1
42,0.7,16,1,1,1
43,0.7,16,1,1,1
44,0.7,16,1,1,1
45,0.7,16,1,1,1
46,0.7,16,1,1,1
47,0.7,16,1,1,1
48,0.7,16,1,1,1
49,0.7,16,1,1,1
50,0.7,16,1,1,1
51,0.7,16,1,1,1
52,0.7,16,1,1,1
53,0.7,16,1,1,1
54,0.7,16,1,1,1
55,0.7,16,1,1,1
56,0.7,16,1,1,1
57,0.7,16,1,1,1
58,0.7,16,1,1,1
59,0.7,16,1,1,1
60,0.7,16,1,1,1
61,0.7,16,1,1,1
62,0.7,16,1,1,1
63,0.7,16,1,1,1
64,0.7,16,1,1,1
65,0.7,16,1,1,1
66,0.7,16,1,1,1
67,0.7,16,1,1,1
68,0.7,16,1,1,1
69,0.7,16,1,1,1
70,0.7,16,1,1,1
71,0.7,16,1,1,1
72,0.7,16,1,1,1
73,0.7,16,1,1,1
74,0.7,16,1,1,1
75,0.7,16,1,1,1
76,0.7,16,1,1,1
77,0.7,16,1,1,1
78,0.7,16,1,1,1
79,0.7,16,1,1,1
80,0.7,16,1,1,1
81,0.7,16,1,1,1
82,0.7,16,1,1,1
83,0.7,16,1,1,1
84,0.7,16,1,1,1
85,0.7,16,1,1,1
86,0.7,16,1,1,1
87,0.7,16,1,1,1
88,0.7,16,1,1,1
89,0.7,16,1,1,1
90,0.7,16,1,1,1
91,0.7,16,1,1,1
92,0.7,16,1,1,1
93,0.7,16,1,1,1
94,0.7,16,1,1,1
95,0.7,16,1,1,1
96,0.7,16,1,1,1
97,0.7,16,1,1,1
98,0.7,16,1,1,1
99,0.7,16,1,1,1
100,0.7,16,1,1,1
1,0.9,16,1,1,0
2,0.9,16,1,1,0.903
3,0.9,16,1,1,0.99
4,0.9,16,1,1,1
5,0.9,16,1,1,1
6,0.9,16,1,1,1
7,0.9,16,1,1,1
8,0.9,16,1,1,1
9,0.9,16,1,1,1
10,0.9,16,1,1,1
11,0.9,16,1,1,1
12,0.9,16,1,1,1
13,0.9,16,1,1,1
14,0.9,16,1,1,1
15,0.9,16,1,1,1
16,0.9,16,1,1,1
17,0.9,16,1,1,1
18,0.9,16,1,1,1
19,0.9,16,1,1,1
20,0.9,16,1,1,1
21,0.9,16,1,1,1
22,0.9,16,1,1,1
23,0.9,16,1,1,1
24,0.9,16,1,1,1
25,0.9,16,1,1,1
26,0.9,16,1,1,1
27,0.9,16,1,1,1
28,0.9,16,1,1,1
29,0.9,16,1,1,1
30,0.9,16,1,1,1
31,0.9,16,1,1,1
32,0.9,16,1,1,1
33,0.9,16,1,1,1
34,0.9,16,1,1,1
35,0.9,16,1,1,1
36,0.9,16,1,1,1
37,0.9,16,1,1,1
38,0.9,16,1,1,1
39,0.9,16,1,1,1
40,0.9,16,1,1,1
41,0.9,16,1,1,1
42,0.9,16,1,1,1
43,0.9,16,1,1,1
44,0.9,16,1,1,1
45,0.9,16,1,1,1
46,0.9,16,1,1,1
47,0.9,16,1,1,1
48,0.9,16,1,1,1
49,0.9,16,1,1,1
50,0.9,16,1,1,1
51,0.9,16,1,1,1
52,0.9,16,1,1,1
53,0.9,16,1,1,1
54,0.9,16,1,1,1
55,0.9,16,1,1,1
56,0.9,16,1,1,1
57,0.9,16,1,1,1
58,0.9,16,1,1,1
59,0.9,16,1,1,1
60,0.9,16,1,1,1
61,0.9,16,1,1,1
62,0.9,16,1,1,1
63,0.9,16,1,1,1
64,0.9,16,1,1,1
65,0.9,16,1,1,1
66,0.9,16,1,1,1
67,0.9,16,1,1,1
68,0.9,16,1,1,1
69,0.9,16,1,1,1
70,0.9,16,1,1,1
71,0.9,16,1,1,1
72,0.9,16,1,1,1
73,0.9,16,1,1,1
74,0.9,16,1,1,1
75,0.9,16,1,1,1
76,0.9,16,1,1,1
77,0.9,16,1,1,1
78,0.9,16,1,1,1
79,0.9,16,1,1,1
80,0.9,16,1,1,1
81,0.9,16,1,1,1
82,0.9,16,1,1,1
83,0.9,16,1,1,1
84,0.9,16,1,1,1
85,0.9,16,1,1,1
86,0.9,16,1,1,1
87,0.9,16,1,1,1
88,0.9,16,1,1,1
89,0.9,16,1,1,1
90,0.9,16,1,1,1
91,0.9,16,1,1,1
92,0.9,16,1,1,1
93,0.9,16,1,1,1
94,0.9,16,1,1,1
95,0.9,16,1,1,1
96,0.9,16,1,1,1
